"DATE","TRADEVOLUME","TRADEPRICE","OPEN","HIGH","LOW","CLOSE","DIFF","TRANSACTION"
"108/05/07","1,654,121","81,245,189","48.50","49.55","48.40","49.55","+1.65","1,127"
"108/05/08","2,478,712","123,401,455","49.55","50.20","48.80","49.80","+0.25","1,443"
"108/05/09","1,903,861","94,666,152","50.20","50.40","49.10","49.60","-0.20","1,251"
"108/05/10","3,007,945","149,826,055","49.60","50.30","49.45","50.00","+0.40","1,761"
"108/05/13","8,704,760","445,041,748","50.50","52.10","50.30","50.40","+0.40","5,372"
"108/05/14","3,125,522","154,388,054","49.60","50.30","48.35","50.30","-0.10","2,014"
"108/05/15","5,405,540","277,728,959","50.70","51.90","50.40","51.70","+1.40","3,550"
"108/05/16","2,954,040","151,323,100","51.50","52.20","50.10","50.10","-1.60","1,857"
"108/05/17","2,717,890","134,674,474","50.40","50.80","48.90","49.00","-1.10","1,812"
"108/05/20","2,207,602","106,917,804","49.35","49.50","47.90","48.50","-0.50","1,445"
"108/05/21","1,620,912","78,078,812","48.30","48.90","47.70","48.40","-0.10","1,077"
"108/05/22","1,367,792","65,683,471","48.10","48.55","47.75","47.75","-0.65","826"
"108/05/23","2,977,567","139,010,311","47.30","47.35","46.15","46.25","-1.50","1,798"
"108/05/24","1,493,483","70,262,351","46.70","47.60","46.45","46.90","+0.65","1,082"
"108/05/27","780,205","36,478,999","47.10","47.50","46.30","46.60","-0.30","571"
"108/05/28","675,193","31,294,167","46.40","46.60","46.15","46.45","-0.15","431"
"108/05/29","1,844,610","84,539,264","46.40","46.45","45.50","45.50","-0.95","1,314"
"108/05/30","1,049,391","48,199,610","45.30","46.40","45.20","46.40","+0.90","733"
"108/05/31","760,641","35,439,346","46.20","46.95","46.10","46.60","+0.20","496"
"108/06/03","765,779","35,271,950","46.30","46.40","45.80","46.05","-0.55","535"
"108/06/04","411,053","18,977,654","46.25","46.50","45.95","46.10","+0.05","275"
"108/06/05","734,670","34,081,451","46.70","46.85","46.05","46.10"," 0.00","494"
"108/06/06","720,636","32,995,706","46.00","46.10","45.65","45.95","-0.15","450"
"108/06/10","906,440","41,895,630","46.20","46.55","45.90","46.55","+0.60","633"
"108/06/11","1,019,227","47,503,886","46.55","47.00","46.10","46.80","+0.25","633"
"108/06/12","1,060,465","50,081,535","47.20","47.70","46.85","47.00","+0.20","781"
"108/06/13","531,075","24,844,255","46.85","47.15","46.50","46.90","-0.10","413"
"108/06/14","718,408","33,538,049","47.10","47.10","46.50","46.55","-0.35","499"
"108/06/17","1,068,731","50,361,797","46.80","47.40","46.65","47.40","+0.85","801"
"108/06/18","1,162,656","54,784,545","47.60","47.65","46.75","47.10","-0.30","852"
"108/06/19","924,655","43,594,190","47.50","47.50","47.05","47.15","+0.05","613"
"108/06/20","1,103,548","52,267,521","47.15","47.60","47.15","47.40","+0.25","682"
"108/06/21","869,400","41,240,069","47.50","47.65","47.05","47.10","-0.30","511"
"108/06/24","883,708","42,031,020","47.20","47.80","47.10","47.70","+0.60","582"
"108/06/25","456,310","21,767,302","47.70","47.85","47.60","47.60","-0.10","302"
"108/06/26","364,592","17,225,139","46.90","47.50","46.90","47.20","-0.40","279"
"108/06/27","701,787","33,350,234","47.20","47.75","47.15","47.70","+0.50","506"
"108/06/28","685,181","32,828,019","47.85","48.10","47.75","47.90","+0.20","508"
"108/07/01","1,212,580","58,289,952","48.30","48.30","47.90","47.95","+0.05","776"
"108/07/02","1,207,576","57,900,933","48.05","48.15","47.70","47.85","-0.10","712"
"108/07/03","1,782,225","85,855,749","47.85","48.45","47.75","48.25","+0.40","971"
"108/07/04","1,441,431","69,405,193","48.40","48.40","48.00","48.15","-0.10","762"
"108/07/05","1,563,224","75,346,801","48.20","48.35","48.05","48.25","+0.10","629"
"108/07/08","2,495,971","120,859,493","48.35","48.55","48.30","48.40","+0.15","1,141"
"108/07/09","4,730,516","231,626,500","49.30","49.30","48.70","48.95","+0.55","2,210"
"108/07/10","5,027,086","229,856,921","46.10","46.10","45.20","45.20","+0.90","2,426"
"108/07/11","987,549","44,783,848","45.50","45.55","45.25","45.30","+0.10","646"
"108/07/12","688,442","31,140,921","45.50","45.50","45.10","45.10","-0.20","448"
"108/07/15","1,093,861","48,890,447","45.10","45.15","44.50","44.60","-0.50","723"
"108/07/16","816,965","36,415,733","44.50","44.90","44.45","44.45","-0.15","624"
"108/07/17","570,144","25,426,339","44.45","44.85","44.40","44.70","+0.25","434"
"108/07/18","678,501","30,242,367","44.70","44.90","44.40","44.45","-0.25","433"
"108/07/19","569,619","25,363,504","44.45","44.80","44.45","44.50","+0.05","311"
"108/07/22","423,654","18,901,064","44.50","44.70","44.45","44.65","+0.15","290"
"108/07/23","878,691","39,252,631","44.80","45.00","44.45","44.70","+0.05","656"
"108/07/24","1,979,125","90,348,318","45.00","46.05","44.85","45.80","+1.10","1,343"
"108/07/25","607,912","27,789,545","46.05","46.05","45.55","45.70","-0.10","419"
"108/07/26","381,202","17,286,069","45.65","45.65","45.20","45.30","-0.40","289"
"108/07/29","586,223","26,364,879","45.30","45.30","44.80","45.00","-0.30","418"
"108/07/30","1,100,331","48,698,878","45.00","45.00","43.95","43.95","-1.05","773"
"108/07/31","472,041","20,592,304","43.40","43.90","43.40","43.65","-0.30","323"
"108/08/01","1,044,710","45,073,584","43.55","43.55","42.95","43.00","-0.65","640"
"108/08/02","1,388,682","58,554,662","42.65","42.65","42.00","42.00","-1.00","868"
"108/08/05","745,101","31,100,454","42.05","42.15","41.55","41.55","-0.45","521"
"108/08/06","896,555","36,690,832","41.05","41.35","40.35","41.30","-0.25","649"
"108/08/07","396,691","16,571,707","41.50","41.90","41.50","41.70","+0.40","268"
"108/08/08","504,300","21,202,919","41.70","42.30","41.70","42.10","+0.40","345"
"108/08/12","906,895","38,733,192","42.50","43.00","42.25","42.75","+0.65","549"
"108/08/13","1,084,749","45,457,608","42.30","42.30","41.70","41.80","-0.95","709"
"108/08/14","635,762","26,700,804","42.10","42.25","41.75","41.80"," 0.00","392"
"108/08/15","672,543","27,875,699","41.40","41.70","41.05","41.60","-0.20","410"
"108/08/16","823,833","34,471,586","41.65","42.00","41.50","41.95","+0.35","582"
"108/08/19","858,707","36,310,588","42.25","42.50","42.10","42.15","+0.20","563"
"108/08/20","2,776,731","118,853,783","42.15","43.40","42.15","42.95","+0.80","1,653"
"108/08/21","960,290","40,939,280","43.00","43.00","42.50","42.55","-0.40","745"
"108/08/22","689,069","29,297,986","42.65","42.75","42.35","42.45","-0.10","409"
"108/08/23","506,217","21,463,095","42.55","42.60","42.30","42.40","-0.05","347"
"108/08/26","1,002,403","41,691,276","41.65","41.90","41.45","41.45","-0.95","690"
"108/08/27","781,033","32,450,965","41.60","41.90","41.35","41.35","-0.10","521"
"108/08/28","398,530","16,523,823","41.75","41.75","41.35","41.50","+0.15","307"
"108/08/29","395,753","16,408,007","41.50","41.55","41.35","41.45","-0.05","226"
"108/08/30","454,666","19,010,272","41.70","42.00","41.50","41.65","+0.20","311"
"108/09/02","814,923","34,223,148","41.70","42.25","41.70","42.00","+0.35","449"
"108/09/03","436,823","18,385,666","42.00","42.30","41.95","42.00"," 0.00","290"
"108/09/04","643,257","26,855,135","42.10","42.10","41.60","41.70","-0.30","485"
"108/09/05","620,882","25,976,144","42.00","42.05","41.65","41.85","+0.15","415"
"108/09/06","950,615","39,881,690","42.10","42.10","41.80","41.95","+0.10","645"
"108/09/09","701,755","29,350,229","42.10","42.15","41.60","41.60","-0.35","416"
"108/09/10","3,211,336","128,869,267","41.00","41.00","39.80","40.10","-1.50","2,166"
"108/09/11","867,481","34,653,733","40.00","40.10","39.80","40.00","-0.10","566"
"108/09/12","620,632","25,055,858","40.20","40.75","40.20","40.35","+0.35","441"
"108/09/16","725,467","29,083,790","40.20","40.30","40.00","40.00","-0.35","503"
"108/09/17","1,427,073","56,737,170","40.00","40.00","39.65","39.70","-0.30","896"
"108/09/18","1,000,201","39,791,315","39.75","39.90","39.70","39.75","+0.05","751"
"108/09/19","523,262","20,861,406","39.80","40.00","39.70","40.00","+0.25","382"
"108/09/20","910,840","36,569,650","40.00","40.30","39.85","40.30","+0.30","657"
"108/09/23","485,487","19,499,843","40.30","40.30","40.10","40.10","-0.20","377"
"108/09/24","385,181","15,436,271","40.10","40.20","40.00","40.05","-0.05","297"
"108/09/25","2,183,530","85,880,235","39.90","39.95","39.00","39.05","-1.00","1,370"
"108/09/26","662,255","26,019,472","39.20","39.60","39.10","39.10","+0.05","483"
"108/09/27","1,060,800","41,120,168","39.10","39.35","38.65","38.70","-0.40","805"
"108/10/01","2,583,278","98,396,970","38.30","38.60","37.80","37.95","-0.75","1,579"
"108/10/02","1,204,300","46,206,864","37.95","38.70","37.75","38.60","+0.65","711"
"108/10/03","1,256,605","47,761,378","38.25","38.25","37.85","38.00","-0.60","855"
"108/10/04","2,224,483","83,034,579","38.00","38.15","37.15","37.20","-0.80","1,495"
"108/10/07","1,483,519","54,792,153","37.20","37.45","36.65","36.80","-0.40","991"
"108/10/08","1,003,370","37,541,196","37.00","37.65","37.00","37.40","+0.60","741"
"108/10/09","796,895","29,452,241","36.80","37.10","36.80","36.90","-0.50","567"
"108/10/14","820,090","30,653,508","37.00","37.65","37.00","37.30","+0.40","623"
"108/10/15","834,748","31,636,506","37.60","38.30","37.40","38.05","+0.75","648"
"108/10/16","810,548","30,967,685","38.25","38.45","38.00","38.10","+0.05","560"
"108/10/17","506,242","19,373,177","38.10","38.40","38.10","38.25","+0.15","398"
"108/10/18","2,765,777","108,628,070","38.45","39.50","38.40","39.50","+1.25","1,305"
"108/10/21","1,462,300","57,661,359","39.80","40.00","39.10","39.20","-0.30","1,001"
"108/10/22","531,653","20,757,042","39.35","39.40","38.80","39.10","-0.10","404"
"108/10/23","925,740","35,812,620","39.10","39.10","38.50","38.60","-0.50","637"
"108/10/24","522,045","20,258,955","38.65","39.00","38.50","38.95","+0.35","406"
"108/10/25","647,124","25,288,452","39.00","39.25","38.75","39.15","+0.20","409"
"108/10/28","793,410","31,329,593","39.40","39.60","39.35","39.45","+0.30","582"
"108/10/29","809,171","31,796,459","39.50","39.55","39.10","39.10","-0.35","504"
"108/10/30","752,693","29,332,477","39.30","39.30","38.85","38.90","-0.20","486"
"108/10/31","481,047","18,698,370","39.00","39.00","38.75","38.80","-0.10","309"
